init,goal,num_moves,finished,moves taken,sequence,alpha,beta
54,31,1,False,"[['2', '4']]","[54, 53]",0.0,0.7
42,23,5,False,"[['4', '1'], ['1', '4'], ['4', '1'], ['1', '4'], ['0', '1']]","[42, 35, 42, 35, 42, 43]",0.0,0.7
34,13,0,False,[],[34],0.0,0.7
12,65,2,False,"[['0', '1'], ['4', '0']]","[12, 13, 15]",0.0,0.7
55,41,0,False,[],[55],0.0,0.7
16,24,5,False,"[['2', '3'], ['3', '2'], ['2', '3'], ['3', '2'], ['0', '3']]","[16, 15, 16, 15, 16, 64]",0.0,0.7
25,32,0,False,[],[25],0.0,0.7
36,15,2,False,"[['0', '3'], ['2', '0']]","[36, 24, 25]",0.0,0.7
33,11,0,False,[],[33],0.0,0.7
53,13,0,False,[],[53],0.0,0.7
23,43,1,False,"[['4', '2']]","[23, 24]",0.0,0.7
55,15,0,False,[],[55],0.0,0.7
42,21,0,False,[],[42],0.0,0.7
54,34,0,False,[],[54],0.0,0.7
52,12,0,False,[],[52],0.0,0.7
55,35,0,False,[],[55],0.0,0.7
22,41,0,False,[],[22],0.0,0.7
34,53,1,False,"[['2', '4']]","[34, 33]",0.0,0.7
42,63,1,False,"[['4', '1']]","[42, 35]",0.0,0.7
46,25,1,False,"[['2', '3']]","[46, 45]",0.0,0.7
23,61,0,False,[],[23],0.0,0.7
43,64,1,False,"[['4', '2']]","[43, 44]",0.0,0.7
13,32,5,False,"[['4', '0'], ['0', '4'], ['4', '0'], ['0', '4'], ['1', '0']]","[13, 15, 13, 15, 13, 12]",0.0,0.7
22,55,1,False,"[['4', '1']]","[22, 15]",0.0,0.7
