init,goal,num_moves,finished,moves taken,sequence,alpha,beta
54,31,4,True,"[['3', '0'], ['2', '3'], ['1', '4'], ['0', '5']]","[54, 46, 45, 32, 31]",0.45,10.0
42,23,4,True,"[['4', '1'], ['3', '2'], ['0', '3'], ['2', '4']]","[42, 35, 36, 24, 23]",0.45,10.0
34,13,4,True,"[['3', '0'], ['2', '3'], ['1', '4'], ['0', '1']]","[34, 26, 25, 12, 13]",0.45,10.0
12,65,5,True,"[['0', '1'], ['4', '0'], ['3', '2'], ['0', '3'], ['2', '0']]","[12, 13, 15, 16, 64, 65]",0.45,10.0
55,41,4,True,"[['3', '2'], ['0', '3'], ['2', '4'], ['1', '5']]","[55, 56, 44, 43, 41]",0.45,10.0
16,24,4,True,"[['2', '3'], ['1', '4'], ['0', '1'], ['4', '2']]","[16, 15, 22, 23, 24]",0.45,10.0
25,32,7,True,"[['3', '2'], ['0', '3'], ['2', '0'], ['1', '4'], ['4', '1'], ['0', '4'], ['1', '0']]","[25, 26, 34, 35, 42, 35, 33, 32]",0.45,10.0
36,15,5,True,"[['0', '3'], ['2', '0'], ['1', '4'], ['0', '1'], ['4', '0']]","[36, 24, 25, 12, 13, 15]",0.45,10.0
33,11,6,True,"[['4', '0'], ['3', '2'], ['0', '3'], ['2', '0'], ['1', '4'], ['0', '5']]","[33, 35, 36, 24, 25, 12, 11]",0.45,10.0
53,13,5,True,"[['1', '0'], ['4', '1'], ['3', '2'], ['0', '3'], ['2', '4']]","[53, 52, 65, 66, 14, 13]",0.45,10.0
23,43,6,True,"[['4', '0'], ['3', '2'], ['0', '3'], ['2', '0'], ['1', '4'], ['0', '1']]","[23, 25, 26, 34, 35, 42, 43]",0.45,10.0
55,15,6,True,"[['1', '4'], ['0', '1'], ['4', '0'], ['3', '2'], ['0', '3'], ['2', '0']]","[55, 62, 63, 65, 66, 14, 15]",0.45,10.0
42,21,5,True,"[['4', '1'], ['3', '2'], ['0', '3'], ['2', '4'], ['1', '5']]","[42, 35, 36, 24, 23, 21]",0.45,10.0
54,34,5,True,"[['3', '0'], ['2', '3'], ['1', '4'], ['0', '1'], ['4', '2']]","[54, 46, 45, 32, 33, 34]",0.45,10.0
52,12,26,True,"[['0', '1'], ['4', '0'], ['3', '2'], ['2', '3'], ['1', '4'], ['4', '1'], ['3', '2'], ['2', '3'], ['1', '4'], ['0', '1'], ['1', '0'], ['0', '5'], ['5', '0'], ['0', '1'], ['1', '0'], ['0', '5'], ['5', '0'], ['0', '1'], ['4', '0'], ['3', '2'], ['0', '3'], ['2', '0'], ['1', '4'], ['4', '1'], ['0', '4'], ['1', '0']]","[52, 53, 55, 56, 55, 62, 55, 56, 55, 62, 63, 62, 61, 62, 63, 62, 61, 62, 63, 65, 66, 14, 15, 22, 15, 13, 12]",0.45,10.0
55,35,8,True,"[['1', '4'], ['4', '1'], ['3', '2'], ['0', '3'], ['2', '0'], ['1', '4'], ['0', '1'], ['4', '0']]","[55, 62, 55, 56, 44, 45, 32, 33, 35]",0.45,10.0
