init,goal,num_moves,finished,moves taken,sequence,alpha,beta
54,31,1,False,"[['2', '4']]","[54, 53]",0.0,0.05
42,23,5,False,"[['4', '1'], ['1', '4'], ['4', '1'], ['1', '4'], ['0', '1']]","[42, 35, 42, 35, 42, 43]",0.0,0.05
34,13,0,False,[],[34],0.0,0.05
12,65,2,False,"[['0', '1'], ['4', '0']]","[12, 13, 15]",0.0,0.05
55,41,0,False,[],[55],0.0,0.05
16,24,5,False,"[['2', '3'], ['3', '2'], ['2', '3'], ['3', '2'], ['0', '3']]","[16, 15, 16, 15, 16, 64]",0.0,0.05
25,32,0,False,[],[25],0.0,0.05
36,15,2,False,"[['0', '3'], ['2', '0']]","[36, 24, 25]",0.0,0.05
33,11,0,False,[],[33],0.0,0.05
53,13,0,False,[],[53],0.0,0.05
23,43,1,False,"[['4', '0']]","[23, 25]",0.0,0.05
55,15,0,False,[],[55],0.0,0.05
42,21,0,False,[],[42],0.0,0.05
54,34,0,False,[],[54],0.0,0.05
52,12,0,False,[],[52],0.0,0.05
55,35,0,False,[],[55],0.0,0.05
22,41,0,False,[],[22],0.0,0.05
34,53,1,False,"[['2', '0']]","[34, 35]",0.0,0.05
42,63,1,False,"[['4', '1']]","[42, 35]",0.0,0.05
46,25,1,False,"[['2', '3']]","[46, 45]",0.0,0.05
23,61,0,False,[],[23],0.0,0.05
43,64,1,False,"[['4', '0']]","[43, 45]",0.0,0.05
13,32,5,False,"[['4', '0'], ['0', '4'], ['4', '0'], ['0', '4'], ['1', '0']]","[13, 15, 13, 15, 13, 12]",0.0,0.05
22,55,1,False,"[['4', '1']]","[22, 15]",0.0,0.05
